_id,County,CROP,Area  (HA),Production  (Tons),Yield ( Tons/HA)
1,BARINGO,Beans,15669,11034,0.7
2,BOMET,Beans,39002,50140.76,1.3
3,BUNGOMA,Beans,77367,61051.12,0.8
4,BUSIA,Beans,27351,36422,1.3
5,ELGEYO MARAKWET,Beans,14873,16354.62,1.1
6,EMBU,Beans,23191,27288,1.2
7,GARISSA,Beans,78,40,0.5
8,HOMA BAY,Beans,102146,55867.62,0.5
9,ISIOLO,Beans,250,165.3,0.7
10,KAJIADO,Beans,51466,30417.024,0.6
11,KAKAMEGA,Beans,36783,30169.935,0.8
12,KERICHO,Beans,21659,21115.872,1
13,KIAMBU,Beans,24546,22994.274,0.9
14,KILIFI,Beans,5892,75,0
15,KIRINYAGA,Beans,28013,20106.684,0.7
16,KISII,Beans,48540,46031.98,0.9
17,KISUMU,Beans,10730,6078.9,0.6
18,KITUI,Beans,33516,20222.23,0.6
19,KWALE,Beans,363,267,0.7
20,LAIKIPIA,Beans,20521,19254.77,0.9
21,LAMU,Beans,3520,1310,0.4
22,MACHAKOS,Beans,62969,44731,0.7
23,MAKUENI,Beans,30152,16448.4,0.5
24,MANDERA,Beans,29,14,0
25,MARSABIT,Beans,402,158.822,0.4
26,MERU,Beans,81132.2,69550.402,0.9
27,MIGORI,Beans,24997,14340.68,0.6
28,MOMBASA,Beans,8,3,0
29,MURANG'A,Beans,42668,23719.77,0.6
30,NAIROBI,Beans,673,483.71,0.7
31,NAKURU,Beans,49474,40862.478,0.8
32,NANDI,Beans,43118,37996.055,0.9
33,NAROK,Beans,34071,39168.43,1.1
34,NYAMIRA,Beans,78002,55790,0.7
35,NYANDARUA,Beans,7122,2758,0.4
36,NYERI,Beans,20909,14121.65,0.7
37,SAMBURU,Beans,2301,2167,0.9
38,SIAYA,Beans,54025,34845.5,0.6
39,TAITA TAVETA,Beans,1371,966.1,0.7
40,TANA RIVER,Beans,40,21,0
41,THARAKA NITHI,Beans,12486,11445,0.9
42,TRANS NZOIA,Beans,33162,22056,0.7
43,TURKANA,Beans,40,12,0
44,UASIN GISHU,Beans,16305,9316,0.6
45,VIHIGA,Beans,26436,9630,0.4
46,WAJIR,Beans,25345,7492,0.3
47,WEST POKOT,Beans,11169,7755.28,0.7
48,BARINGO,Sorghum,"1,162",924,0.8
49,BOMET,Sorghum,888,"1,439",1.6
