COMMODITY,County
Dry Maize,Garissa
Green Maize,Garissa
Finger Millet,Kitui
Sorghum,Garissa
Wheat,Garissa
Beans Canadian,Karatina
Beans Rosecoco,Malindi
Beans Mwitemania,Malindi
Mwezi Moja,Kitui
Beans Dolichos (Njahi),Malindi
Green Gram,Loitoktok
Cowpeas,Kisumu
Fresh Peas,Garissa
Groundnuts,Garissa
Red Irish Potatoes,Loitoktok
White Irish Potatoes,Loitoktok
Cassava Fresh,Malindi
Sweet Potatoes,Garissa
Cabbages,Loitoktok
Cooking Bananas,Malindi
Ripe Bananas,Busia
Carrots,Kitui
Tomatoes,Eldoret
Onions Dry,Kisumu
Spring Onions,Garissa
Chillies,Garissa
Cucumber,Embu
Capsicums,Nakuru
Brinjals,Nakuru
Cauliflower,Nairobi
Lettuce,Malindi
Passion Fruits,Mombasa
Oranges,Garissa
Lemons,Garissa
Mangoes Local,Garissa
Mangoes Ngowe,Embu
Limes,Mombasa
Pineapples,Busia
Pawpaw,Garissa
Avocado,Malindi
Kales,Malindi
Eggs,Eldoret
